Gender;Age;age_ed;education;Group;answers;q_1;q_2;q_3;q_4;q_5;q_6;q_1_p;q_2_p;q_3_p;q_4_p;q_5_p;q_6_p;t_1;t_2;t_3;t_4;t_5;t_6
Мужчина;19;13;среднее;B;{6.0: ['a3', 'a2', 12406.0], 1.0: ['a2', 'a3', 12959.0], 4.0: ['a2', 'a1', 10479.0], 5.0: ['a2', 'a2', 9231.0], 2.0: ['a2', 'a3', 10678.0], 3.0: ['a1', 'a1', 8351.0]};a2;a2;a1;a2;a2;a3;0;0;1;0;1;0;12959;10678;8351;10479;9231;12406
Мужчина;43;;среднее;D;{2.0: ['a2', 'a1', 13782.0], 4.0: ['a2', 'a2', 12216.0], 1.0: ['a2', 'a3', 9984.0], 3.0: ['a2', 'a3', 10232.0], 5.0: ['a2', 'a1', 9064.0], 6.0: ['a2', 'a2', 8936.0]};a2;a2;a2;a2;a2;a2;0;0;0;1;0;1;9984;13782;10232;12216;9064;8936
Женщина;41;17;высшее;D;{3.0: ['a1', 'a3', 10880.0], 4.0: ['a1', 'a2', 11039.0], 5.0: ['a1', 'a1', 7721.0], 2.0: ['a1', 'a1', 8141.0], 6.0: ['a1', 'a2', 11020.0], 1.0: ['a1', 'a3', 7637.0]};a1;a1;a1;a1;a1;a1;0;1;0;0;1;0;7637;8141;10880;11039;7721;11020
Мужчина;20;13;неоконченное высшее;B;{1.0: ['a3', 'a3', 42390.0], 6.0: ['a3', 'a2', 14720.0], 2.0: ['a3', 'a3', 10059.0], 4.0: ['a3', 'a1', 14599.0], 5.0: ['a3', 'a2', 11622.0], 3.0: ['a3', 'a1', 12816.0]};a3;a3;a3;a3;a3;a3;1;1;0;0;0;0;42390;10059;12816;14599;11622;14720
Мужчина;21;14;неоконченное высшее;B;{4.0: ['a3', 'a1', 12087.0], 3.0: ['a1', 'a1', 9433.0], 1.0: ['a3', 'a3', 8384.0], 5.0: ['a2', 'a2', 9629.0], 2.0: ['a3', 'a3', 11417.0], 6.0: ['a3', 'a2', 10017.0]};a3;a3;a1;a3;a2;a3;1;1;1;0;1;0;8384;11417;9433;12087;9629;10017
Мужчина;20;13;высшее;B;{1.0: ['a2', 'a3', 27283.0], 3.0: ['a3', 'a1', 14254.0], 2.0: ['a3', 'a3', 9941.0], 4.0: ['a1', 'a1', 16527.0], 5.0: ['a2', 'a2', 10221.0], 6.0: ['a2', 'a2', 8706.0]};a2;a3;a3;a1;a2;a2;0;1;0;1;1;1;27283;9941;14254;16527;10221;8706
Мужчина;19;14;неоконченное высшее;B;{1.0: ['a3', 'a3', 28432.0], 4.0: ['a3', 'a1', 20089.0], 2.0: ['a3', 'a3', 14612.0], 3.0: ['a3', 'a1', 10641.0], 5.0: ['a3', 'a2', 10905.0], 6.0: ['a3', 'a2', 12552.0]};a3;a3;a3;a3;a3;a3;1;1;0;0;0;0;28432;14612;10641;20089;10905;12552
Женщина;35;16;высшее;C;{4.0: ['a2', 'a2', 12634.0], 5.0: ['a2', 'a1', 9549.0], 3.0: ['a1', 'a3', 9999.0], 6.0: ['a2', 'a2', 8029.0], 2.0: ['a1', 'a1', 8917.0], 1.0: ['a2', 'a3', 9431.0]};a2;a1;a1;a2;a2;a2;0;1;0;1;0;1;9431;8917;9999;12634;9549;8029
Мужчина;20;14;неоконченное высшее;C;{3.0: ['a1', 'a3', 27241.0], 2.0: ['a3', 'a1', 14916.0], 5.0: ['a1', 'a1', 8761.0], 1.0: ['a2', 'a3', 12932.0], 6.0: ['a2', 'a2', 10507.0], 4.0: ['a2', 'a2', 14419.0]};a2;a3;a1;a2;a1;a2;0;0;0;1;1;1;12932;14916;27241;14419;8761;10507
Мужчина;45;15;оконченное высшее;B;{4.0: ['a1', 'a1', 10862.0], 5.0: ['a1', 'a2', 10278.0], 3.0: ['a2', 'a1', 8801.0], 1.0: ['a3', 'a3', 9631.0], 2.0: ['a1', 'a3', 8544.0], 6.0: ['a2', 'a2', 8877.0]};a3;a1;a2;a1;a1;a2;1;0;0;1;0;1;9631;8544;8801;10862;10278;8877
